Warning ID,Antibiotic ID,Headline,Warning Type,Warning Description,Reference ID
W068,A012,Use in Lactation,Pregnancy & Lactation,Use with caution in breastfeeding mothers because amoxicillin is distributed into milk and may lead to sensitization of infants.,R012
W069,A013,Overdosage,Overdosage,"Clinical features of amoxicillin overdosage may include allergic reactions and GI effects such as nausea, vomiting and diarrhea. Symptomatic treatment with attention to water/electrolyte balance is recommended.",R013
W070,A013,Overdosage,Overdosage,"Crystalluria, in some cases leading to renal failure, has been observed after amoxicillin overdosage in adults and children. Adequate fluid intake and diuresis should be maintained to reduce the risk of amoxicillin crystalluria.",R013
W071,A013,Overdosage,Overdosage,Interstitial nephritis resulting in oliguric renal failure has also been reported in a small number of patients after overdose with amoxicillin. Renal impairment appears to be reversible with cessation of drug administration. High blood levels may occur more readily in patients with impaired renal function because of decreased renal clearance of amoxicillin.,R013
W072,A013,Overdosage,Overdosage,Amoxicillin may be removed from circulation by hemodialysis.,R013
W073,A013,Hypersensitivity,Contraindication,"Known hypersensitivity to penicillins or cephalosporins, or any component of the product.",R013
W074,A013,Patient with Infectious Mononucleosis,Patient Condition,Patient with infectious mononucleosis since amoxicillin is likely to cause a maculopapular rash.,R013
W075,A013,Pregnancy Category B,Pregnancy & Lactation,"The safety of amoxicillin during pregnancy has not been definitely established. However, amoxicillin has been administered to pregnant women, particularly in the treatment of urinary tract infections, without evidence of adverse effects to the fetus.",R013
W076,A013,Use in Lactation,Pregnancy & Lactation,"Since amoxicillin is distributed into human milk and may lead to sensitization of the infant, the drug should be used with caution when breastfeeding.",R013
W077,A014,Overdosage,Overdosage,"Overdosage of Clarithromycin can cause gastrointestinal symptoms such as abdominal pain, vomiting, nausea, and diarrhea.",R014
W078,A014,Overdosage,Overdosage,Adverse reactions accompanying overdosage should be treated by the prompt elimination of unabsorbed drug and supportive measures.,R014
W079,A014,Overdosage,Overdosage,"As with other macrolides, Clarithromycin serum concentrations are not expected to be appreciably affected by hemodialysis or peritoneal dialysis.",R014
W080,A014,Hypersensitivity,Contraindication,Clarithromycin is contraindicated in patients with known hypersensitivity to any macrolide antibiotics.,R014
W081,A014,Contraindications,Contraindication,"Astemizole, cisapride and terfenadine are contraindicated in patients on Clarithromycin.",R014
W082,A014,Use in Pregnancy,Pregnancy & Lactation,Clarithromycin should not be used in pregnant women except in clinical circumstances where no alternative therapy is appropriate.,R014
W083,A014,Use in Pregnancy,Pregnancy & Lactation,"If pregnancy occurs while taking this drug, the patient should be apprised of the potential hazard to the fetus.",R014
